ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
52347,SP,MARK BURFORD,,-,-,-,-,11/19/2006,21,CAN,"6' 4""",215 lbs,Right,Right,20,55,Very High
56064,SP,VINCE DAWKINS,,-,-,-,-,10/24/2005,22,USA,"6' 2""",195 lbs,Left,Left,20,50,Very High
51922,SP,TED EICHENLAUB,,-,-,-,-,03/04/2006,22,USA,"6' 2""",195 lbs,Right,Right,20,50,High
53083,SP,KEVIN HURD,,-,-,-,-,07/05/2007,20,USA,"6' 2""",190 lbs,Switch,Right,20,50,Very High
56772,SP,GREG MCDONALD,,-,-,-,-,11/10/2006,21,USA,"6' 1""",190 lbs,Right,Right,20,50,Very High
56601,SP,JEFF ROSINSKY,,-,-,-,-,07/13/2009,18,USA,"6' 1""",175 lbs,Right,Right,20,50,Very High
56389,SP,TOBY RUTTER,,-,-,-,-,08/29/2009,18,USA,"5' 10""",170 lbs,Right,Right,20,50,Very High
57706,CF,MIKE DAVENPORT,,-,-,-,-,12/03/2006,21,USA,"6' 2""",190 lbs,Left,Left,20,40,Very High
51693,3B,DOUG NAGY,,-,-,-,-,01/24/2006,22,USA,"6' 2""",205 lbs,Right,Right,20,40,Very High
57747,CF,RON NEWTON,,-,-,-,-,09/20/2006,21,USA,"6' 0""",175 lbs,Right,Right,20,40,Very High
56588,SS,JOE PETTY,,-,-,-,-,10/21/2009,18,USA,"6' 2""",185 lbs,Switch,Right,20,40,Very High
56637,1B,DREW BAILEY JR.,,-,-,-,-,03/09/2010,18,USA,"6' 7""",200 lbs,Right,Right,20,35,Very High
57056,3B,ISAIAH BINNS,,-,-,-,-,02/22/2007,21,USA,"6' 4""",205 lbs,Right,Right,20,35,Very High
56519,SS,JULIO QUINTERO,,-,-,-,-,12/26/2009,18,PUR,"6' 2""",180 lbs,Right,Right,20,35,Very High
56990,SS,DAVE CARTER,,-,-,-,-,08/04/2010,17,USA,"6' 4""",185 lbs,Right,Right,20,30,Very High
56661,CF,JOE LAGEN,,-,-,-,-,09/10/2009,18,USA,"6' 0""",175 lbs,Left,Left,20,30,Very High
31659,SP,JIMMY PURSER,,-,-,-,-,05/28/2006,21,USA,"6' 3""",185 lbs,Right,Right,20,30,High
56984,2B,SEAN CARRIER,,-,-,-,-,01/31/2010,18,USA,"6' 1""",175 lbs,Right,Right,20,25,Very High
