ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
53006,RP,DAKOTA CERTO,,-,-,-,-,09/09/2005,22,USA,"6' 0""",195 lbs,Left,Left,20,60,Very High
53124,CL,DAMANI JENKINS,,-,-,-,-,02/14/2006,22,USA,"5' 9""",180 lbs,Left,Left,20,60,Very High
51161,SP,JORDAN GILCHREST,,-,-,-,-,09/24/2005,22,USA,"5' 10""",180 lbs,Right,Right,20,55,Very High
57015,SP,JOSH RICHARDSON,,-,-,-,-,07/16/2006,21,USA,"6' 2""",200 lbs,Left,Left,20,55,Very High
57714,RP,TIM TOMASIC,,-,-,-,-,06/05/2006,21,USA,"6' 0""",190 lbs,Right,Right,20,55,Very High
56495,SP,ABEL BOHRER,,-,-,-,-,09/19/2009,18,USA,"6' 8""",200 lbs,Right,Right,20,45,Very High
56565,SP,JON DOLAN,,-,-,-,-,10/25/2009,18,USA,"6' 3""",175 lbs,Right,Left,20,45,Very High
57723,SP,EDDIE ENDRIZZI,,-,-,-,-,08/30/2006,21,USA,"6' 4""",200 lbs,Right,Right,20,45,Very High
56859,SP,DAN GATTI,,-,-,-,-,08/04/2007,20,USA,"6' 4""",200 lbs,Right,Right,20,45,Very High
48509,SP,IAN HERRING,,-,-,-,-,03/22/2006,22,USA,"6' 4""",205 lbs,Right,Right,20,45,High
57716,SP,DAN OLMEDA,,-,-,-,-,04/18/2006,22,USA,"6' 6""",215 lbs,Switch,Right,20,45,Very High
52775,SP,JOSH PAPPAS,,-,-,-,-,05/03/2006,21,USA,"6' 4""",205 lbs,Right,Right,20,45,High
19187,SP,JIM BERG,,-,-,-,-,05/05/2006,21,USA,"6' 6""",200 lbs,Left,Left,20,40,Very High
56714,SP,DUSTY BUSSI,,-,-,-,-,04/20/2010,18,USA,"6' 8""",200 lbs,Right,Right,20,40,Very High
56651,SP,CHRIS COYNE,,-,-,-,-,03/02/2010,18,USA,"6' 3""",185 lbs,Right,Right,20,40,High
52429,SP,BEN DERY,,-,-,-,-,06/02/2005,22,USA,"6' 1""",195 lbs,Left,Left,20,40,High
56629,SP,ETHAN HOLDER,,-,-,-,-,04/02/2010,18,USA,"6' 2""",175 lbs,Left,Left,20,40,Very High
56796,SP,DAVE HULSING,,-,-,-,-,06/27/2006,21,USA,"6' 4""",200 lbs,Left,Left,20,40,Very High
36362,SP,ERIC INOA,,-,-,-,-,12/31/2006,21,USA,"6' 0""",190 lbs,Right,Right,20,40,Very High
56562,SP,TOMMY MELTON,,-,-,-,-,06/30/2010,17,USA,"6' 1""",170 lbs,Left,Left,20,40,Very High
38676,SP,CHRIS SHAIN,,-,-,-,-,03/19/2007,21,USA,"6' 4""",200 lbs,Left,Left,20,40,Very High
56805,3B,ALEX AVILA,,-,-,-,-,07/07/2006,21,USA,"6' 0""",195 lbs,Right,Right,20,35,Very High
56905,1B,LEONEL CAMPOS JR.,,-,-,-,-,11/23/2006,21,VEN,"6' 8""",240 lbs,Left,Left,20,35,Very High
56561,3B,MILT COFIELD,,-,-,-,-,07/26/2010,17,USA,"6' 6""",195 lbs,Right,Right,20,35,Very High
