ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
56854,SP,JIMMY CLARK,,-,-,-,-,05/26/2006,21,USA,"6' 2""",200 lbs,Right,Right,20,60,Very High
27924,SS,C.J. FARLEY,,-,-,-,-,05/16/2007,20,USA,"5' 11""",170 lbs,Right,Right,20,40,Very High
56881,SP,TOMMY FARMER,,-,-,-,-,02/13/2006,22,USA,"6' 10""",235 lbs,Right,Right,20,60,Very High
56440,SP,JUAN GALVAN,,-,-,-,-,01/17/2010,18,PUR,"6' 4""",185 lbs,Right,Right,20,60,Very High
48208,SP,MARIO BOTELLO,,-,-,-,-,04/01/2006,22,USA,"6' 1""",195 lbs,Right,Right,20,50,Very High
56873,SP,MIKE BUHR,,-,-,-,-,05/14/2007,20,USA,"6' 2""",190 lbs,Left,Left,20,50,Very High
56545,SP,GREG GATTIS,,-,-,-,-,10/16/2009,18,USA,"6' 8""",200 lbs,Switch,Right,20,50,Very High
56594,SP,CHRIS LANDIS,,-,-,-,-,11/16/2009,18,USA,"6' 1""",170 lbs,Right,Left,20,50,Very High
56606,SP,MELVIN LUNA,,-,-,-,-,07/06/2009,18,USA,"6' 2""",175 lbs,Right,Left,20,50,Very High
56943,SP,TIM MAYFIELD,,-,-,-,-,01/13/2007,21,USA,"5' 9""",165 lbs,Right,Right,20,50,Very High
56815,SP,TIM NIGRO,,-,-,-,-,08/20/2009,18,USA,"6' 3""",175 lbs,Right,Right,20,50,Very High
56662,SP,JOSE VASQUEZ,,-,-,-,-,10/06/2010,17,USA,"6' 5""",185 lbs,Left,Right,20,50,Very High
30076,CF,TED CLARK,,-,-,-,-,07/19/2006,21,USA,"6' 2""",170 lbs,Left,Left,20,40,Very High
51963,C,SHAIG BAGRATONI,,-,-,-,-,02/13/2005,23,USA,"6' 0""",205 lbs,Right,Right,20,35,Very High
56524,RF,JIMMY HELL,,-,-,-,-,12/03/2009,18,USA,"6' 4""",190 lbs,Right,Left,20,35,Very High
56918,CF,CHRIS MCGRATH,,-,-,-,-,05/04/2010,17,USA,"6' 2""",175 lbs,Left,Left,20,35,Very High
57027,LF,DAVE GISONDI,,-,-,-,-,10/20/2009,18,USA,"6' 2""",185 lbs,Right,Right,20,30,Very High
42954,SP,PAT DUFORD,,-,-,-,-,09/05/2006,21,CAN,"6' 2""",195 lbs,Right,Right,20,20,High
