ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
53126,SP,ZACH CALDER,,-,-,-,-,05/30/2006,21,USA,"6' 5""",215 lbs,Right,Right,20,65,Very High
57045,SP,BOBBY NAEGLE,,-,-,-,-,3/20/2007,21,USA,"6' 1""",185 lbs,Right,Right,20,65,Very High
56576,SP,ERIC DANIELS,,-,-,-,-,1/21/2010,18,USA,"6' 6""",190 lbs,Switch,Right,20,60,Very High
51970,SP,TOMMIE HARDMAN,,-,-,-,-,12/10/2007,20,USA,"6' 7""",230 lbs,Right,Right,20,60,Very High
56946,SP,MIKE HARROD,,-,-,-,-,04/27/2010,18,USA,"6' 7""",195 lbs,Right,Right,20,60,Very High
56966,SP,BENIGNO RODRIGUEZ,,-,-,-,-,09/23/2009,18,USA,"6' 8""",210 lbs,Left,Left,20,60,Very High
57686,SP,KEVIN STOCKTON,,-,-,-,-,02/23/2006,22,USA,"6' 1""",200 lbs,Left,Left,20,60,Very High
56885,SP,JOSH VILLERS,,-,-,-,-,05/10/2006,21,USA,"6' 0""",185 lbs,Right,Right,20,60,Very High
28552,SP,STEVE COOK,,-,-,-,-,12/06/2006,21,USA,"6' 4""",200 lbs,Switch,Right,20,55,Very High
51925,SP,JOSE NAVARRO,,-,-,-,-,11/05/2005,22,USA,"5' 10""",185 lbs,Right,Right,20,55,Very High
56408,SP,LUIS PINA,,-,-,-,-,11/20/2009,18,PUR,"6' 4""",190 lbs,Left,Left,20,55,Very High
56870,SP,MIKE SCHARRER,,-,-,-,-,1/29/2007,21,USA,"6' 1""",185 lbs,Right,Right,20,55,Very High
56634,SP,MIKE STOTT,,-,-,-,-,05/06/2009,18,CAN,"5' 11""",170 lbs,Right,Right,20,55,Very High
51833,SS,RICKY PATRICK,,-,-,-,-,4/8/2005,23,USA,"6' 0""",180 lbs,Right,Right,25,50,Very High
56686,CF,OMAR QUINTANILLA,,-,-,-,-,09/20/2009,18,USA,"6' 4""",185 lbs,Right,Right,20,50,Very High
56687,CF,EDDIE CAHILL,,-,-,-,-,11/12/2010,17,CAN,"6' 3""",170 lbs,Left,Left,20,45,Very High
57757,1B,JOSH DEAN,,-,-,-,-,12/24/2009,18,USA,"6' 4""",210 lbs,Right,Right,20,45,Very High
56444,CF,MANNY FLORES,,-,-,-,-,07/14/2010,17,USA,"6' 2""",165 lbs,Switch,Right,20,45,Very High
56693,CF,PAT FOSTER,,-,-,-,-,07/21/2010,17,USA,"6' 3""",175 lbs,Right,Right,20,45,Very High
56756,3B,JOSH FRANKUM,,-,-,-,-,5/3/2010,17,USA,"6' 2""",185 lbs,Right,Right,20,45,Very High
56988,SP,JEREMY PACE,,-,-,-,-,11/12/2006,21,USA,"6' 2""",185 lbs,Switch,Right,20,45,Very High
44089,3B,KAREEM WILLIAMS,,-,-,-,-,03/05/2007,21,USA,"6' 2""",200 lbs,Right,Right,20,45,Very High
51284,2B,TED DUBOISE,,-,-,-,-,11/10/2005,22,USA,"6' 0""",185 lbs,Right,Right,20,40,Very High
57019,SS,IRA DUCKWORTH,,-,-,-,-,11/30/2009,18,USA,"6' 1""",170 lbs,Right,Right,20,40,Very High
57003,SP,CHAD FLANNERY,,-,-,-,-,10/19/2006,21,USA,"6' 2""",200 lbs,Right,Right,20,40,Very High
50256,CF,PAUL MATKIN,,-,-,-,-,10/09/2007,20,CAN,"6' 1""",185 lbs,Right,Right,20,40,Very High
56939,CF,TOMMY MORGAN,,-,-,-,-,01/24/2007,21,USA,"6' 2""",185 lbs,Right,Right,20,40,Very High
51987,CF,MIKE RICHARDS,,-,-,-,-,12/15/2005,22,USA,"5' 9""",175 lbs,Right,Right,20,40,Very High
56669,CF,DAVE SCHOONOVER,,-,-,-,-,10/01/2009,18,USA,"6' 5""",195 lbs,Right,Right,20,40,Very High
56703,RF,VIC SHIPP,,-,-,-,-,07/14/2009,18,USA,"6' 4""",185 lbs,Left,Left,20,40,Very High
56691,RF,IAN ZIMMER,,-,-,-,-,05/29/2009,18,USA,"6' 6""",195 lbs,Left,Right,20,40,Very High
56582,3B,JEFF PELKEY,,-,-,-,-,01/06/2010,18,USA,"6' 5""",190 lbs,Right,Right,20,35,Very High
56807,SP,KEVIN WESTCOTT,,-,-,-,-,01/06/2007,21,USA,"6' 1""",185 lbs,Left,Left,20,35,Very High
56379,3B,MIKE WALLACE,,-,-,-,-,07/03/2009,18,USA,"6' 2""",185 lbs,Right,Right,20,30,Very High
